rep,start,end,peak_idx,peak_time,rms,mdf,env_peak,rep_duration,is_fatigued,file_id,rms_rel_base,rms_delta_base,mdf_rel_base,mdf_delta_base,env_peak_rel_base,env_peak_delta_base,rep_duration_rel_base,rep_duration_delta_base,rms_diff1,rms_roll3_mean,mdf_diff1,mdf_roll3_mean,env_peak_diff1,env_peak_roll3_mean,peak_time_diff1
8,37996,42075,40019,20.0095,627.3130687297659,62.5,1044.9662676782812,4079,0,09-02,1.4140833953722134,183.69491241640986,0.9411764705740623,-3.90625,1.2894624674201065,234.57721481371107,0.7497242984926938,-1361.666666666667,133.31364711359788,540.992986627407,0.0,62.5,362.01383464441335,813.318222216104,2.0229999999999997
9,42075,46409,44132,22.066,562.3066324228979,58.59375,798.8468058804426,4334,0,09-02,1.2675464798254044,118.68847610954191,0.8823529411631833,-7.8125,0.9857571533767472,-11.542246984127473,0.7965935547112859,-1106.666666666667,-65.00643630686795,561.2063742562773,-3.90625,61.197916666666664,-246.11946179783854,842.2551688641971,2.0564999999999998
10,46409,51029,48687,24.3435,573.4246505327121,56.640625,846.8349341373705,4620,1,09-02,1.2926086147979319,129.80649421935613,0.8529411764577439,-9.765625,1.0449733139199329,36.44588127280042,0.8491606420780206,-820.666666666667,11.118018109814216,587.6814505617918,-1.953125,59.244791666666664,47.988128256927894,896.8826692320314,2.2775
11,51029,57586,53371,26.6855,571.7714538830112,60.546875,1186.5621989125464,6557,1,09-02,1.2888819939954022,128.1532975696552,0.9117647058686228,-5.859375,1.464188336104507,376.1731460479763,1.2051831883345412,1116.333333333333,-1.6531966497009307,569.1675789462071,3.90625,58.59375,339.72726477517585,944.0813129767863,2.3420000000000023
12,57586,66200,61802,30.901,700.878457436135,42.96875,1211.898693403192,8614,1,09-02,1.5799138233185381,257.260301122779,0.6470588235196678,-23.4375,1.4954529421613814,401.50964053862197,1.583261855164517,3173.333333333333,129.10700355312383,615.3581872839527,-17.578125,53.385416666666664,25.33649449064569,1081.7652754843696,4.215499999999999
1,0,6240,3493,1.7465,630.0414404163496,42.96875,1196.3563347475126,6240,0,09-03,1.1521912189048997,83.22123377216042,0.7951807228768506,-11.067708333333336,1.2476975471807095,237.5050991659847,1.0213880401569695,130.66666666666697,0.0,630.0414404163496,0.0,42.96875,0.0,1196.3563347475126,0.0
2,6240,11868,8987,4.4935,605.1052809228689,56.640625,1005.2376524963317,5628,0,09-03,1.1065891010781514,58.28507427867976,1.0481927710649395,2.6041666666666643,1.0483770737236657,46.38641691480382,0.9212134439108051,-481.33333333333303,-24.93615949348066,617.5733606696092,13.671875,49.8046875,-191.11868225118087,1100.7969936219222,2.747
3,11868,18328,14750,7.375,405.313898593349,62.5,674.9597195007394,6460,0,09-03,0.7412196800114627,-141.50630805084018,1.156626506002692,8.463541666666664,0.7039253790924963,-283.8915160807885,1.0573985159317343,350.66666666666697,-199.79138232951993,546.8202066441892,5.859375,54.036458333333336,-330.2779329955923,958.8512355815279,2.8815
4,18328,24441,21907,10.9535,441.52385539206233,58.59375,638.4965476896173,6113,0,09-03,0.8074388071736902,-105.29635125212684,1.0843373493775237,4.557291666666664,0.6658974030540967,-320.35468789191066,1.0006001745960824,3.66666666666697,36.209956798713336,483.9810116360934,-3.90625,59.244791666666664,-36.46317181112215,772.8979732288961,3.5785
5,24441,30523,26976,13.488,440.8230330886955,58.59375,612.6618451704811,6082,0,09-03,0.8061571751219663,-105.99717355549365,1.0843373493775237,4.557291666666664,0.6389540133389645,-346.1893904110468,0.9955259711914564,-27.33333333333303,-0.700822303366806,429.2202623580356,0.0,59.895833333333336,-25.834702519136158,642.0393707869459,2.5344999999999995
6,30523,36157,34070,17.035,549.1927648487625,64.453125,730.3587828742345,5634,0,09-03,1.0043388268662004,2.3725582045733518,1.192771084315276,10.416666666666664,0.7617018738371045,-228.4924527072934,0.9221955477955714,-475.33333333333303,108.369731760067,477.1798844431735,5.859375,60.546875,117.6969377037534,660.5057252447776,3.5470000000000006
7,36157,40434,38245,19.1225,542.3955031166906,58.59375,777.793297636475,4277,0,09-03,0.9919083028119158,-4.4247035274985365,1.0843373493775237,4.557291666666664,0.811172024160708,-181.0579379450529,0.7000763858575895,-1832.333333333333,-6.797261732071888,510.80376701804954,-5.859375,60.546875,47.4345147622405,706.9379752270635,2.0874999999999986
8,40434,44724,42624,21.312,611.3028608839481,58.59375,1319.418038670277,4290,0,09-03,1.1179229543004057,64.48265423975897,1.0843373493775237,4.557291666666664,1.376040400958231,360.566803088749,0.7022042776079165,-1819.333333333333,68.90735776725751,567.6303762831338,0.0,60.546875,541.6247410338019,942.5233730603289,2.1895000000000024
9,44724,50936,46824,23.412,652.7193387378994,56.640625,1037.8645899215094,6212,1,09-03,1.1936635310944612,105.89913209371025,1.0481927710649395,2.6041666666666643,1.082404184723169,79.01335433998145,1.0168048886947265,102.66666666666697,41.41647785395128,602.1392342461794,-1.953125,57.942708333333336,-281.55344874876755,1045.0253087427536,2.099999999999998
10,50936,63400,55048,27.524,563.5156868052543,54.6875,1325.0049838546759,12464,1,09-03,1.0305319371105433,16.69548016106512,1.0120481927523555,0.6510416666666643,1.3818671079353615,366.1537482731479,2.0401571366212288,6354.666666666667,-89.20365193264513,609.1792954757007,-1.953125,56.640625,287.1403939331665,1227.4292041488209,4.112000000000002
1,0,8143,4519,2.2595,379.01362657028034,62.5,657.2403747542651,8143,0,09-04,0.863345952128032,-59.99187943249785,1.0212765957279928,1.3020833333333357,0.9415643567117729,-40.78984492036818,1.1632303223654354,1142.666666666667,0.0,379.01362657028034,0.0,62.5,0.0,657.2403747542651,0.0
2,8143,14138,11768,5.884,449.72303950002225,56.640625,637.7198350800529,5995,0,09-04,1.0244132097426402,10.717533497244062,0.9255319148784935,-4.557291666666664,0.9135991782367161,-60.31038459458034,0.8563877910574463,-1005.333333333333,70.70941292974192,414.3683330351513,-5.859375,59.5703125,-19.52053967421216,647.480104917159,3.6245000000000003
